Series,Year,Issues,Covers,Published,Series Link,Covers1 Link,Covers2 Link
Marvel Comics [m],1939,1 issues (1 indexed),Have 2 (Need 1),October 1939,https://www.comics.org/series/136/,https://www.comics.org/series/136/covers/,https://www.comics.org/series/136/scans/
Marvel Mystery Comics [m],1939,91 issues (91 indexed),Gallery,December 1939 - June 1949,https://www.comics.org/series/137/,https://www.comics.org/series/137/covers/,
Daring Mystery Comics [m],1940,8 issues (8 indexed),Have 8 (Need 2),January 1940 - January 1942,https://www.comics.org/series/177/,https://www.comics.org/series/177/covers/,https://www.comics.org/series/177/scans/
The Human Torch [m],1940,38 issues (38 indexed),Gallery,Fall 1940 - August 1954,https://www.comics.org/series/178/,https://www.comics.org/series/178/covers/,
Mystic Comics [m],1940,10 issues (10 indexed),Have 10 (Need 1),March 1940 - August 1942,https://www.comics.org/series/179/,https://www.comics.org/series/179/covers/,https://www.comics.org/series/179/scans/
Red Raven Comics [m],1940,1 issues (1 indexed),Gallery,August 1940,https://www.comics.org/series/180/,https://www.comics.org/series/180/covers/,
Snap [m],1940,6 issues (0 indexed),Have 6 (Need 1),January 1943 - ?,https://www.comics.org/series/111924/,https://www.comics.org/series/111924/covers/,https://www.comics.org/series/111924/scans/
All-Winners Comics [m],1941,20 issues (20 indexed),Gallery,Summer 1941 - Winter 1946-47,https://www.comics.org/series/236/,https://www.comics.org/series/236/covers/,
Captain America Comics [m],1941,73 issues (73 indexed),Gallery,March 1941 - July 1949,https://www.comics.org/series/237/,https://www.comics.org/series/237/covers/,
Gayety [m],1941,8 issues (0 indexed),Have 7 (Need 1),September 1941 - ?,https://www.comics.org/series/95255/,https://www.comics.org/series/95255/covers/,https://www.comics.org/series/95255/scans/
Jest [m],1941,83 issues (0 indexed),Have 82 (Need 6),July 1941 - January 1964,https://www.comics.org/series/76190/,https://www.comics.org/series/76190/covers/,https://www.comics.org/series/76190/scans/
Joker [m],1941,1 issues (0 indexed),Gallery,October 1941,https://www.comics.org/series/92580/,https://www.comics.org/series/92580/covers/,
Sub-Mariner Comics [m],1941,32 issues (32 indexed),Gallery,Spring 1941 - June 1949,https://www.comics.org/series/239/,https://www.comics.org/series/239/covers/,
